SUMLEV,REGION,DIVISION,STATE,NAME,POPESTIMATE2020,POPEST18PLUS2020,PCNT_POPEST18PLUS
010,0,0,00,United States,329484123,256662010,77.9
040,3,6,01,Alabama,4921532,3834249,77.9
040,4,9,02,Alaska,731158,552427,75.6
040,4,8,04,Arizona,7421401,5774978,77.8
040,3,7,05,Arkansas,3030522,2330808,76.9
040,4,9,06,California,39368078,30576844,77.7
040,4,8,08,Colorado,5807719,4557684,78.5
040,1,1,09,Connecticut,3557006,2838054,79.8
040,3,5,10,Delaware,986809,782153,79.3
040,3,5,11,District of Columbia,712816,583228,81.8
040,3,5,12,Florida,21733312,17482580,80.4
040,3,5,13,Georgia,10710017,8210067,76.7
040,4,9,15,Hawaii,1407006,1111188,79
040,4,8,16,Idaho,1826913,1375870,75.3
040,2,3,17,Illinois,12587530,9809562,77.9
040,2,3,18,Indiana,6754953,5188514,76.8
040,2,4,19,Iowa,3163561,2438002,77.1
040,2,4,20,Kansas,2913805,2217059,76.1
040,3,6,21,Kentucky,4477251,3475334,77.6
040,3,7,22,Louisiana,4645318,3564038,76.7
040,1,1,23,Maine,1350141,1101973,81.6
040,3,5,24,Maryland,6055802,4721883,78
040,1,1,25,Massachusetts,6893574,5552051,80.5
040,2,3,26,Michigan,9966555,7839742,78.7
040,2,4,27,Minnesota,5657342,4356123,77
040,3,6,28,Mississippi,2966786,2273653,76.6
040,2,4,29,Missouri,6151548,4780119,77.7
040,4,8,30,Montana,1080577,850894,78.7
040,2,4,31,Nebraska,1937552,1462537,75.5
040,4,8,32,Nevada,3138259,2440679,77.8
040,1,1,33,New Hampshire,1366275,1113141,81.5
040,1,2,34,New Jersey,8882371,6947836,78.2
040,4,8,35,New Mexico,2106319,1633828,77.6
040,1,2,36,New York,19336776,15348422,79.4
040,3,5,37,North Carolina,10600823,8294423,78.2
040,2,4,38,North Dakota,765309,583680,76.3
040,2,3,39,Ohio,11693217,9124576,78
040,3,7,40,Oklahoma,3980783,3027263,76
040,4,9,41,Oregon,4241507,3380729,79.7
040,1,2,42,Pennsylvania,12783254,10162497,79.5
040,1,1,44,Rhode Island,1057125,855276,80.9
040,3,5,45,South Carolina,5218040,4100115,78.6
040,2,4,46,South Dakota,892717,674238,75.5
040,3,6,47,Tennessee,6886834,5373433,78
040,3,7,48,Texas,29360759,21925627,74.7
040,4,8,49,Utah,3249879,2320603,71.4
040,1,1,50,Vermont,623347,510181,81.8
040,3,5,51,Virginia,8590563,6724143,78.3
040,4,9,53,Washington,7693612,6027818,78.3
040,3,5,54,West Virginia,1784787,1428520,80
040,2,3,55,Wisconsin,5832655,4574131,78.4
040,4,8,56,Wyoming,582328,449237,77.1
